Comunidades y Ciudades Autónomas;Edad;Sexo;Periodo;Total
01 Andalucía;De 16 a 19 años;Ambos sexos;2019T2;54,86
01 Andalucía;De 16 a 19 años;Ambos sexos;2019T1;59,24
01 Andalucía;De 16 a 19 años;Ambos sexos;2018T4;56,04
01 Andalucía;De 16 a 19 años;Ambos sexos;2018T3;55,96
01 Andalucía;De 16 a 19 años;Ambos sexos;2018T2;61,05
01 Andalucía;De 16 a 19 años;Ambos sexos;2018T1;68,55
01 Andalucía;De 16 a 19 años;Ambos sexos;2017T4;66,36
01 Andalucía;De 16 a 19 años;Ambos sexos;2017T3;60,44
01 Andalucía;De 16 a 19 años;Ambos sexos;2017T2;60,88
01 Andalucía;De 16 a 19 años;Ambos sexos;2017T1;69,98
01 Andalucía;De 16 a 19 años;Ambos sexos;2016T4;78,18
01 Andalucía;De 16 a 19 años;Ambos sexos;2016T3;70,33
01 Andalucía;De 16 a 19 años;Ambos sexos;2016T2;68,82
01 Andalucía;De 16 a 19 años;Ambos sexos;2016T1;74,45
01 Andalucía;De 16 a 19 años;Ambos sexos;2015T4;69,62
01 Andalucía;De 16 a 19 años;Ambos sexos;2015T3;69,47
01 Andalucía;De 16 a 19 años;Ambos sexos;2015T2;79,02
01 Andalucía;De 16 a 19 años;Ambos sexos;2015T1;76,95
01 Andalucía;De 16 a 19 años;Ambos sexos;2014T4;68,66
01 Andalucía;De 16 a 19 años;Ambos sexos;2014T3;72,94
01 Andalucía;De 16 a 19 años;Ambos sexos;2014T2;76,37
01 Andalucía;De 16 a 19 años;Ambos sexos;2014T1;71,57
01 Andalucía;De 16 a 19 años;Ambos sexos;2013T4;77,05
01 Andalucía;De 16 a 19 años;Ambos sexos;2013T3;80,26
01 Andalucía;De 16 a 19 años;Ambos sexos;2013T2;79,60
01 Andalucía;De 16 a 19 años;Ambos sexos;2013T1;81,81
01 Andalucía;De 16 a 19 años;Ambos sexos;2012T4;83,43
01 Andalucía;De 16 a 19 años;Ambos sexos;2012T3;77,47
01 Andalucía;De 16 a 19 años;Ambos sexos;2012T2;75,91
01 Andalucía;De 16 a 19 años;Ambos sexos;2012T1;76,28
01 Andalucía;De 16 a 19 años;Ambos sexos;2011T4;73,49
01 Andalucía;De 16 a 19 años;Ambos sexos;2011T3;69,25
01 Andalucía;De 16 a 19 años;Ambos sexos;2011T2;64,04
01 Andalucía;De 16 a 19 años;Ambos sexos;2011T1;66,95
01 Andalucía;De 16 a 19 años;Ambos sexos;2010T4;67,67
01 Andalucía;De 16 a 19 años;Ambos sexos;2010T3;70,72
01 Andalucía;De 16 a 19 años;Ambos sexos;2010T2;68,77
01 Andalucía;De 16 a 19 años;Ambos sexos;2010T1;64,44
01 Andalucía;De 20 a 24 años;Ambos sexos;2020T3;47,48
01 Andalucía;De 20 a 24 años;Ambos sexos;2020T2;48,47
01 Andalucía;De 20 a 24 años;Ambos sexos;2020T1;41,46
01 Andalucía;De 20 a 24 años;Ambos sexos;2019T4;38,01
01 Andalucía;De 20 a 24 años;Ambos sexos;2019T3;40,92
01 Andalucía;De 20 a 24 años;Ambos sexos;2019T2;37,79
01 Andalucía;De 20 a 24 años;Ambos sexos;2019T1;36,87
01 Andalucía;De 20 a 24 años;Ambos sexos;2018T4;42,65
01 Andalucía;De 20 a 24 años;Ambos sexos;2018T3;43,77
01 Andalucía;De 20 a 24 años;Ambos sexos;2018T2;43,80
01 Andalucía;De 20 a 24 años;Ambos sexos;2018T1;44,17
01 Andalucía;De 20 a 24 años;Ambos sexos;2017T4;43,73
01 Andalucía;De 20 a 24 años;Ambos sexos;2017T3;42,44
01 Andalucía;De 20 a 24 años;Ambos sexos;2017T2;46,00
01 Andalucía;De 20 a 24 años;Ambos sexos;2017T1;50,81
01 Andalucía;De 20 a 24 años;Ambos sexos;2016T4;53,51
01 Andalucía;De 20 a 24 años;Ambos sexos;2016T3;52,07
01 Andalucía;De 20 a 24 años;Ambos sexos;2016T2;56,69
01 Andalucía;De 20 a 24 años;Ambos sexos;2016T1;57,28
01 Andalucía;De 20 a 24 años;Ambos sexos;2015T4;52,47
01 Andalucía;De 20 a 24 años;Ambos sexos;2015T3;54,52
01 Andalucía;De 20 a 24 años;Ambos sexos;2015T2;53,69
01 Andalucía;De 20 a 24 años;Ambos sexos;2015T1;53,77
01 Andalucía;De 20 a 24 años;Ambos sexos;2014T4;57,09
01 Andalucía;De 20 a 24 años;Ambos sexos;2014T3;59,77
01 Andalucía;De 20 a 24 años;Ambos sexos;2014T2;59,89
01 Andalucía;De 20 a 24 años;Ambos sexos;2014T1;60,97
01 Andalucía;De 20 a 24 años;Ambos sexos;2013T4;61,30
01 Andalucía;De 20 a 24 años;Ambos sexos;2013T3;64,13
01 Andalucía;De 20 a 24 años;Ambos sexos;2013T2;63,47
01 Andalucía;De 20 a 24 años;Ambos sexos;2013T1;63,12
01 Andalucía;De 20 a 24 años;Ambos sexos;2012T4;61,38
01 Andalucía;De 20 a 24 años;Ambos sexos;2012T3;59,12
01 Andalucía;De 20 a 24 años;Ambos sexos;2012T2;59,60
01 Andalucía;De 20 a 24 años;Ambos sexos;2012T1;52,99
01 Andalucía;De 20 a 24 años;Ambos sexos;2011T4;50,06
01 Andalucía;De 20 a 24 años;Ambos sexos;2011T3;49,17
01 Andalucía;De 20 a 24 años;Ambos sexos;2011T2;53,41
01 Andalucía;De 20 a 24 años;Ambos sexos;2011T1;49,52
01 Andalucía;De 20 a 24 años;Ambos sexos;2010T4;45,48
01 Andalucía;De 20 a 24 años;Ambos sexos;2010T3;44,63
01 Andalucía;De 20 a 24 años;Ambos sexos;2010T2;46,67
01 Andalucía;De 20 a 24 años;Ambos sexos;2010T1;44,40
01 Andalucía;De 25 a 54 años;Ambos sexos;2020T3;22,49
01 Andalucía;De 25 a 54 años;Ambos sexos;2020T2;20,28
01 Andalucía;De 25 a 54 años;Ambos sexos;2020T1;20,05
01 Andalucía;De 25 a 54 años;Ambos sexos;2019T4;19,80
01 Andalucía;De 25 a 54 años;Ambos sexos;2019T3;20,58
01 Andalucía;De 25 a 54 años;Ambos sexos;2019T2;19,85
01 Andalucía;De 25 a 54 años;Ambos sexos;2019T1;20,04
01 Andalucía;De 25 a 54 años;Ambos sexos;2018T4;19,56
01 Andalucía;De 25 a 54 años;Ambos sexos;2018T3;21,19
01 Andalucía;De 25 a 54 años;Ambos sexos;2018T2;21,30
01 Andalucía;De 25 a 54 años;Ambos sexos;2018T1;23,21
01 Andalucía;De 25 a 54 años;Ambos sexos;2017T4;22,96
01 Andalucía;De 25 a 54 años;Ambos sexos;2017T3;24,09
01 Andalucía;De 25 a 54 años;Ambos sexos;2017T2;23,40
01 Andalucía;De 25 a 54 años;Ambos sexos;2017T1;25,26
01 Andalucía;De 25 a 54 años;Ambos sexos;2016T4;26,70
01 Andalucía;De 25 a 54 años;Ambos sexos;2016T3;26,97
01 Andalucía;De 25 a 54 años;Ambos sexos;2016T2;27,36
01 Andalucía;De 25 a 54 años;Ambos sexos;2016T1;28,19
01 Andalucía;De 25 a 54 años;Ambos sexos;2015T4;28,34
01 Andalucía;De 25 a 54 años;Ambos sexos;2015T3;29,95
01 Andalucía;De 25 a 54 años;Ambos sexos;2015T2;29,16
01 Andalucía;De 25 a 54 años;Ambos sexos;2015T1;32,24
01 Andalucía;De 25 a 54 años;Ambos sexos;2014T4;32,43
01 Andalucía;De 25 a 54 años;Ambos sexos;2014T3;33,16
01 Andalucía;De 25 a 54 años;Ambos sexos;2014T2;32,88
01 Andalucía;De 25 a 54 años;Ambos sexos;2014T1;32,97
01 Andalucía;De 25 a 54 años;Ambos sexos;2013T4;34,26
01 Andalucía;De 25 a 54 años;Ambos sexos;2013T3;33,72
01 Andalucía;De 25 a 54 años;Ambos sexos;2013T2;33,20
01 Andalucía;De 25 a 54 años;Ambos sexos;2013T1;34,43
01 Andalucía;De 25 a 54 años;Ambos sexos;2012T4;33,43
01 Andalucía;De 25 a 54 años;Ambos sexos;2012T3;32,79
01 Andalucía;De 25 a 54 años;Ambos sexos;2012T2;31,04
01 Andalucía;De 25 a 54 años;Ambos sexos;2012T1;31,11
01 Andalucía;De 25 a 54 años;Ambos sexos;2011T4;29,02
01 Andalucía;De 25 a 54 años;Ambos sexos;2011T3;28,65
01 Andalucía;De 25 a 54 años;Ambos sexos;2011T2;27,23
01 Andalucía;De 25 a 54 años;Ambos sexos;2011T1;27,40
01 Andalucía;De 25 a 54 años;Ambos sexos;2010T4;26,01
01 Andalucía;De 25 a 54 años;Ambos sexos;2010T3;26,36
01 Andalucía;De 25 a 54 años;Ambos sexos;2010T2;25,34
01 Andalucía;De 25 a 54 años;Ambos sexos;2010T1;25,12
01 Andalucía;55 y más años;Ambos sexos;2020T3;18,38
01 Andalucía;55 y más años;Ambos sexos;2020T2;16,06
01 Andalucía;55 y más años;Ambos sexos;2020T1;17,01
01 Andalucía;55 y más años;Ambos sexos;2019T4;17,02
01 Andalucía;55 y más años;Ambos sexos;2019T3;17,39
01 Andalucía;55 y más años;Ambos sexos;2019T2;18,02
01 Andalucía;55 y más años;Ambos sexos;2019T1;17,55
01 Andalucía;55 y más años;Ambos sexos;2018T4;18,77
01 Andalucía;55 y más años;Ambos sexos;2018T3;19,96
01 Andalucía;55 y más años;Ambos sexos;2018T2;21,19
01 Andalucía;55 y más años;Ambos sexos;2018T1;22,35
01 Andalucía;55 y más años;Ambos sexos;2017T4;21,14
01 Andalucía;55 y más años;Ambos sexos;2017T3;21,47
01 Andalucía;55 y más años;Ambos sexos;2017T2;23,61
01 Andalucía;55 y más años;Ambos sexos;2017T1;23,25
01 Andalucía;55 y más años;Ambos sexos;2016T4;23,09
01 Andalucía;55 y más años;Ambos sexos;2016T3;23,39
01 Andalucía;55 y más años;Ambos sexos;2016T2;23,42
01 Andalucía;55 y más años;Ambos sexos;2016T1;22,20
01 Andalucía;55 y más años;Ambos sexos;2015T4;24,76
01 Andalucía;55 y más años;Ambos sexos;2015T3;26,82
01 Andalucía;55 y más años;Ambos sexos;2015T2;26,00
01 Andalucía;55 y más años;Ambos sexos;2015T1;27,65
01 Andalucía;55 y más años;Ambos sexos;2014T4;29,49
01 Andalucía;55 y más años;Ambos sexos;2014T3;29,86
01 Andalucía;55 y más años;Ambos sexos;2014T2;28,64
01 Andalucía;55 y más años;Ambos sexos;2014T1;29,53
01 Andalucía;55 y más años;Ambos sexos;2013T4;30,21
01 Andalucía;55 y más años;Ambos sexos;2013T3;29,67
01 Andalucía;55 y más años;Ambos sexos;2013T2;30,06
01 Andalucía;55 y más años;Ambos sexos;2013T1;29,94
01 Andalucía;55 y más años;Ambos sexos;2012T4;28,60
01 Andalucía;55 y más años;Ambos sexos;2012T3;28,75
01 Andalucía;55 y más años;Ambos sexos;2012T2;27,30
01 Andalucía;55 y más años;Ambos sexos;2012T1;25,67
01 Andalucía;55 y más años;Ambos sexos;2011T4;24,58
01 Andalucía;55 y más años;Ambos sexos;2011T3;24,07
01 Andalucía;55 y más años;Ambos sexos;2011T2;21,63
01 Andalucía;55 y más años;Ambos sexos;2011T1;21,64
01 Andalucía;55 y más años;Ambos sexos;2010T4;22,16
01 Andalucía;55 y más años;Ambos sexos;2010T3;21,53
01 Andalucía;55 y más años;Ambos sexos;2010T2;20,07
01 Andalucía;55 y más años;Ambos sexos;2010T1;19,26
02 Aragón;Menores de 25 años;Ambos sexos;2020T3;31,54
02 Aragón;Menores de 25 años;Ambos sexos;2020T2;27,06
02 Aragón;Menores de 25 años;Ambos sexos;2020T1;19,71
02 Aragón;Menores de 25 años;Ambos sexos;2019T4;22,57
02 Aragón;Menores de 25 años;Ambos sexos;2019T3;27,43
02 Aragón;Menores de 25 años;Ambos sexos;2019T2;29,70
02 Aragón;Menores de 25 años;Ambos sexos;2019T1;30,23
02 Aragón;Menores de 25 años;Ambos sexos;2018T4;28,59
02 Aragón;Menores de 25 años;Ambos sexos;2018T3;24,99
02 Aragón;Menores de 25 años;Ambos sexos;2018T2;24,34
02 Aragón;Menores de 25 años;Ambos sexos;2018T1;32,39
02 Aragón;Menores de 25 años;Ambos sexos;2017T4;25,94
02 Aragón;Menores de 25 años;Ambos sexos;2017T3;27,17
02 Aragón;Menores de 25 años;Ambos sexos;2017T2;33,50
02 Aragón;Menores de 25 años;Ambos sexos;2017T1;35,46
02 Aragón;Menores de 25 años;Ambos sexos;2016T4;38,97
02 Aragón;Menores de 25 años;Ambos sexos;2016T3;39,23
02 Aragón;Menores de 25 años;Ambos sexos;2016T2;37,46
02 Aragón;Menores de 25 años;Ambos sexos;2016T1;30,95
02 Aragón;Menores de 25 años;Ambos sexos;2015T4;33,67
02 Aragón;Menores de 25 años;Ambos sexos;2015T3;39,51
02 Aragón;Menores de 25 años;Ambos sexos;2015T2;44,84
02 Aragón;Menores de 25 años;Ambos sexos;2015T1;46,93
02 Aragón;Menores de 25 años;Ambos sexos;2014T4;48,26
02 Aragón;Menores de 25 años;Ambos sexos;2014T3;50,25
02 Aragón;Menores de 25 años;Ambos sexos;2014T2;53,45
02 Aragón;Menores de 25 años;Ambos sexos;2014T1;54,24
02 Aragón;Menores de 25 años;Ambos sexos;2013T4;50,04
02 Aragón;Menores de 25 años;Ambos sexos;2013T3;49,33
02 Aragón;Menores de 25 años;Ambos sexos;2013T2;51,39
02 Aragón;Menores de 25 años;Ambos sexos;2013T1;50,28
02 Aragón;Menores de 25 años;Ambos sexos;2012T4;46,21
02 Aragón;Menores de 25 años;Ambos sexos;2012T3;44,25
02 Aragón;Menores de 25 años;Ambos sexos;2012T2;39,79
02 Aragón;Menores de 25 años;Ambos sexos;2012T1;39,04
02 Aragón;Menores de 25 años;Ambos sexos;2011T4;35,55
02 Aragón;Menores de 25 años;Ambos sexos;2011T3;37,55
02 Aragón;Menores de 25 años;Ambos sexos;2011T2;44,03
02 Aragón;Menores de 25 años;Ambos sexos;2011T1;42,24
02 Aragón;Menores de 25 años;Ambos sexos;2010T4;33,17
02 Aragón;Menores de 25 años;Ambos sexos;2010T3;31,44
02 Aragón;Menores de 25 años;Ambos sexos;2010T2;31,13
02 Aragón;Menores de 25 años;Ambos sexos;2010T1;31,89
02 Aragón;25 y más años;Ambos sexos;2020T3;10,41
02 Aragón;25 y más años;Ambos sexos;2020T2;10,74
02 Aragón;25 y más años;Ambos sexos;2020T1;10,04
02 Aragón;25 y más años;Ambos sexos;2019T4;9,05
02 Aragón;25 y más años;Ambos sexos;2019T3;8,38
02 Aragón;25 y más años;Ambos sexos;2019T2;8,66
02 Aragón;25 y más años;Ambos sexos;2019T1;9,32
02 Aragón;25 y más años;Ambos sexos;2018T4;10,00
02 Aragón;25 y más años;Ambos sexos;2018T3;8,85
02 Aragón;25 y más años;Ambos sexos;2018T2;9,01
02 Aragón;25 y más años;Ambos sexos;2018T1;10,28
02 Aragón;25 y más años;Ambos sexos;2017T4;10,45
02 Aragón;25 y más años;Ambos sexos;2017T3;9,29
02 Aragón;25 y más años;Ambos sexos;2017T2;9,92
02 Aragón;25 y más años;Ambos sexos;2017T1;11,87
02 Aragón;25 y más años;Ambos sexos;2016T4;11,80
02 Aragón;25 y más años;Ambos sexos;2016T3;13,19
02 Aragón;25 y más años;Ambos sexos;2016T2;13,83
02 Aragón;25 y más años;Ambos sexos;2016T1;14,25
02 Aragón;25 y más años;Ambos sexos;2015T4;13,37
02 Aragón;25 y más años;Ambos sexos;2015T3;13,30
02 Aragón;25 y más años;Ambos sexos;2015T2;15,13
02 Aragón;25 y más años;Ambos sexos;2015T1;16,83
02 Aragón;25 y más años;Ambos sexos;2014T4;16,68
02 Aragón;25 y más años;Ambos sexos;2014T3;16,06
02 Aragón;25 y más años;Ambos sexos;2014T2;18,66
02 Aragón;25 y más años;Ambos sexos;2014T1;20,77
02 Aragón;25 y más años;Ambos sexos;2013T4;18,52
02 Aragón;25 y más años;Ambos sexos;2013T3;18,00
02 Aragón;25 y más años;Ambos sexos;2013T2;19,88
02 Aragón;25 y más años;Ambos sexos;2013T1;20,40
02 Aragón;25 y más años;Ambos sexos;2012T4;16,73
02 Aragón;25 y más años;Ambos sexos;2012T3;16,72
02 Aragón;25 y más años;Ambos sexos;2012T2;17,11
02 Aragón;25 y más años;Ambos sexos;2012T1;16,90
02 Aragón;25 y más años;Ambos sexos;2011T4;15,43
02 Aragón;25 y más años;Ambos sexos;2011T3;14,10
02 Aragón;25 y más años;Ambos sexos;2011T2;15,37
02 Aragón;25 y más años;Ambos sexos;2011T1;16,16
02 Aragón;25 y más años;Ambos sexos;2010T4;14,94
02 Aragón;25 y más años;Ambos sexos;2010T3;12,16
02 Aragón;25 y más años;Ambos sexos;2010T2;13,04
02 Aragón;25 y más años;Ambos sexos;2010T1;13,81
02 Aragón;De 16 a 19 años;Ambos sexos;2020T3;44,05
02 Aragón;De 16 a 19 años;Ambos sexos;2020T2;33,01
02 Aragón;De 16 a 19 años;Ambos sexos;2020T1;24,99
02 Aragón;De 16 a 19 años;Ambos sexos;2019T4;20,28
02 Aragón;De 16 a 19 años;Ambos sexos;2019T3;31,63
02 Aragón;De 16 a 19 años;Ambos sexos;2019T2;48,24
02 Aragón;De 16 a 19 años;Ambos sexos;2019T1;45,86
02 Aragón;De 16 a 19 años;Ambos sexos;2018T4;35,22
02 Aragón;De 16 a 19 años;Ambos sexos;2018T3;37,32
02 Aragón;De 16 a 19 años;Ambos sexos;2018T2;36,49
02 Aragón;De 16 a 19 años;Ambos sexos;2018T1;47,68
02 Aragón;De 16 a 19 años;Ambos sexos;2017T4;41,83
02 Aragón;De 16 a 19 años;Ambos sexos;2017T3;45,30
02 Aragón;De 16 a 19 años;Ambos sexos;2017T2;54,83
02 Aragón;De 16 a 19 años;Ambos sexos;2017T1;53,39
02 Aragón;De 16 a 19 años;Ambos sexos;2016T4;54,74
02 Aragón;De 16 a 19 años;Ambos sexos;2016T3;59,00
02 Aragón;De 16 a 19 años;Ambos sexos;2016T2;67,09
02 Aragón;De 16 a 19 años;Ambos sexos;2016T1;47,64
02 Aragón;De 16 a 19 años;Ambos sexos;2015T4;52,97
02 Aragón;De 16 a 19 años;Ambos sexos;2015T3;53,17
02 Aragón;De 16 a 19 años;Ambos sexos;2015T2;64,69
02 Aragón;De 16 a 19 años;Ambos sexos;2015T1;56,64
02 Aragón;De 16 a 19 años;Ambos sexos;2014T4;48,66
02 Aragón;De 16 a 19 años;Ambos sexos;2014T3;64,50
02 Aragón;De 16 a 19 años;Ambos sexos;2014T2;75,56
02 Aragón;De 16 a 19 años;Ambos sexos;2014T1;69,54
02 Aragón;De 16 a 19 años;Ambos sexos;2013T4;86,14
02 Aragón;De 16 a 19 años;Ambos sexos;2013T3;72,18
02 Aragón;De 16 a 19 años;Ambos sexos;2013T2;86,29
02 Aragón;De 16 a 19 años;Ambos sexos;2013T1;90,66
02 Aragón;De 16 a 19 años;Ambos sexos;2012T4;91,71
02 Aragón;De 16 a 19 años;Ambos sexos;2012T3;75,16
02 Aragón;De 16 a 19 años;Ambos sexos;2012T2;64,76
02 Aragón;De 16 a 19 años;Ambos sexos;2012T1;74,86
02 Aragón;De 16 a 19 años;Ambos sexos;2011T4;65,57
02 Aragón;De 16 a 19 años;Ambos sexos;2011T3;63,33
02 Aragón;De 16 a 19 años;Ambos sexos;2011T2;74,14
02 Aragón;De 16 a 19 años;Ambos sexos;2011T1;60,88
02 Aragón;De 16 a 19 años;Ambos sexos;2010T4;52,04
02 Aragón;De 16 a 19 años;Ambos sexos;2010T3;41,28
02 Aragón;De 16 a 19 años;Ambos sexos;2010T2;43,42
02 Aragón;De 16 a 19 años;Ambos sexos;2010T1;53,41
02 Aragón;De 20 a 24 años;Ambos sexos;2020T3;28,89
02 Aragón;De 20 a 24 años;Ambos sexos;2020T2;25,89
02 Aragón;De 20 a 24 años;Ambos sexos;2020T1;18,86
02 Aragón;De 20 a 24 años;Ambos sexos;2019T4;23,08
02 Aragón;De 20 a 24 años;Ambos sexos;2019T3;26,57
02 Aragón;De 20 a 24 años;Ambos sexos;2019T2;26,06
02 Aragón;De 20 a 24 años;Ambos sexos;2019T1;27,03
02 Aragón;De 20 a 24 años;Ambos sexos;2018T4;27,27
02 Aragón;De 20 a 24 años;Ambos sexos;2018T3;21,86
02 Aragón;De 20 a 24 años;Ambos sexos;2018T2;21,77
02 Aragón;De 20 a 24 años;Ambos sexos;2018T1;28,22
02 Aragón;De 20 a 24 años;Ambos sexos;2017T4;22,40
02 Aragón;De 20 a 24 años;Ambos sexos;2017T3;22,54
02 Aragón;De 20 a 24 años;Ambos sexos;2017T2;28,91
02 Aragón;De 20 a 24 años;Ambos sexos;2017T1;32,21
02 Aragón;De 20 a 24 años;Ambos sexos;2016T4;35,90
02 Aragón;De 20 a 24 años;Ambos sexos;2016T3;35,22
02 Aragón;De 20 a 24 años;Ambos sexos;2016T2;33,56
02 Aragón;De 20 a 24 años;Ambos sexos;2016T1;27,92
02 Aragón;De 20 a 24 años;Ambos sexos;2015T4;30,82
02 Aragón;De 20 a 24 años;Ambos sexos;2015T3;36,27
02 Aragón;De 20 a 24 años;Ambos sexos;2015T2;40,44
02 Aragón;De 20 a 24 años;Ambos sexos;2015T1;45,13
02 Aragón;De 20 a 24 años;Ambos sexos;2014T4;48,19
02 Aragón;De 20 a 24 años;Ambos sexos;2014T3;47,72
02 Aragón;De 20 a 24 años;Ambos sexos;2014T2;48,77
02 Aragón;De 20 a 24 años;Ambos sexos;2014T1;50,76
02 Aragón;De 20 a 24 años;Ambos sexos;2013T4;40,18
02 Aragón;De 20 a 24 años;Ambos sexos;2013T3;43,54
02 Aragón;De 20 a 24 años;Ambos sexos;2013T2;44,99
02 Aragón;De 20 a 24 años;Ambos sexos;2013T1;42,66
02 Aragón;De 20 a 24 años;Ambos sexos;2012T4;39,79
